trade_id,magic_number,symbol,trade_type,lot_size,open_price,close_price,stop_loss,take_profit,open_time,close_time,profit,commission,swap,source,status,ea_name,ai_confidence,strategy_tags,notes
MT5_167004979,0,GOLD,BUY,0.02,3345.22,,,,2025-07-03T18:07:54,,,,,ea,open,,,,
MT5_167184539,0,GOLD,SELL,0.02,3327.75,,,,2025-07-04T01:11:28,,,,,ea,open,,,,
MT5_167241541,0,GOLD,BUY,0.02,3341.53,,,,2025-07-04T11:13:32,,,,,ea,open,,,,
MT5_167272417,0,GOLD,BUY,0.02,3337.66,,,,2025-07-04T13:29:41,,,,,ea,open,,,,
MT5_167004979,0,GOLD,BUY,0.02,3345.22,,,,2025-07-03T18:07:54,,,,,ea,open,,,,
MT5_167184539,0,GOLD,SELL,0.02,3327.75,,,,2025-07-04T01:11:28,,,,,ea,open,,,,
MT5_167241541,0,GOLD,BUY,0.02,3341.53,,,,2025-07-04T11:13:32,,,,,ea,open,,,,
MT5_167272417,0,GOLD,BUY,0.02,3337.66,,,,2025-07-04T13:29:41,,,,,ea,open,,,,
MT5_532194913,100001,EURUSD,SELL,0.01,1.17999,,,,2025-07-02T03:00:04,,,,,ea,open,,,,
MT5_532195807,100003,USDCAD,BUY,0.01,1.365,,,,2025-07-02T03:45:01,,,,,ea,open,,,,
MT5_532225834,500003,GOLD,SELL,0.01,3335.41,,,,2025-07-02T07:15:02,,,,,ea,open,,,,
MT5_532612742,100003,EURJPY,BUY,0.01,169.549,,,,2025-07-03T04:00:00,,,,,ea,open,,,,
MT5_532622499,100002,EURJPY,SELL,0.01,169.426,,,,2025-07-03T05:00:00,,,,,ea,open,,,,
MT5_532663216,100004,EURJPY,BUY,0.01,169.475,,,,2025-07-03T08:00:02,,,,,ea,open,,,,
MT5_532776440,100021,GOLD,SELL,0.01,3356.0,,,,2025-07-03T13:30:06,,,,,ea,open,,,,
MT5_532848260,100012,GOLD,BUY,0.01,3346.32,,,,2025-07-03T16:00:01,,,,,ea,open,,,,
MT5_532977669,100000,USDJPY,SELL,0.01,145.045,,,,2025-07-03T18:45:00,,,,,ea,open,,,,
MT5_532977680,100000,EURJPY,BUY,0.01,170.245,,,,2025-07-03T18:45:00,,,,,ea,open,,,,
MT5_532977683,100001,EURJPY,BUY,0.01,170.245,,,,2025-07-03T18:45:01,,,,,ea,open,,,,
MT5_532997204,100007,GOLD,SELL,0.01,3324.3,,,,2025-07-03T19:00:00,,,,,ea,open,,,,
